image_id,difficulty,TP,FP,FN,FN_Details
Image__2023-12-11__12-33-23_label8_cls0,133,0,133,0,{}
Image__2023-12-11__12-33-23_label9_cls0,126,0,126,0,{}
Image__2023-03-01__14-02-16_label0_cls0,126,0,126,0,{}
Image__2023-02-07__14-46-21_label2_cls0,117,0,116,1,{'dirt': 1}
Image__2023-03-15__14-24-10_label0_cls0,112,0,111,1,{'dirt': 1}
Image__2023-12-11__12-33-23_label4_cls0,104,0,104,0,{}
Image__2023-03-06__13-21-57_label0_cls0,99,0,99,0,{}
Image__2023-12-11__12-33-23_label5_cls0,97,0,97,0,{}
Image__2023-12-11__12-33-23_label3_cls0,96,0,96,0,{}
Image__2023-12-11__12-33-23_label11_cls0,94,0,94,0,{}
Image__2023-05-24__12-53-46_label0_cls0,94,0,87,7,{'dirt': 7}
Image__2023-02-27__14-28-09_label0_cls0,92,0,91,1,{'dirt': 1}
Image__2024-04-17__12-22-30_label0_cls0,91,0,91,0,{}
Image__2023-12-11__12-33-23_label2_cls0,91,0,91,0,{}
Image__2023-05-24__12-53-46_label1_cls0,91,0,83,8,{'dirt': 8}
Image__2023-05-24__12-53-46_label3_cls0,89,0,81,8,{'dirt': 8}
Image__2023-02-07__14-46-21_label1_cls0,88,0,87,1,{'dirt': 1}
Image__2023-03-17__12-47-35_label0_cls0,86,0,85,1,{'dirt': 1}
Image__2023-12-11__12-33-23_label6_cls0,85,0,85,0,{}
Image__2023-03-14__14-05-27_label0_cls0,85,0,83,2,{'dirt': 2}
Image__2023-02-23__14-15-34_label0_cls0,84,0,83,1,{'dirt': 1}
Image__2023-12-11__12-32-34_label2_cls0,81,0,81,0,{}
Image__2023-05-24__12-27-38_label0_cls0,81,0,80,1,{'dirt': 1}
Image__2023-05-24__12-53-46_label4_cls0,81,0,72,9,{'dirt': 9}
Image__2023-05-24__12-53-46_label2_cls0,80,0,71,9,{'dirt': 9}
Image__2023-03-02__13-30-47_label0_cls0,80,0,80,0,{}
Image__2024-01-27__12-36-01_label0_cls0,79,0,79,0,{}
Image__2023-03-14__13-32-08_label0_cls0,78,0,77,1,{'dirt': 1}
Image__2023-03-01__14-03-40_label0_cls0,78,0,78,0,{}
Image__2023-12-11__12-33-23_label1_cls0,78,0,78,0,{}
Image__2023-02-22__13-51-10_label0_cls0,76,0,74,2,{'dirt': 2}
Image__2023-05-24__12-53-46_label6_cls0,76,0,70,6,{'dirt': 6}
Image__2023-03-01__13-57-22_label0_cls0,76,0,76,0,{}
Image__2023-03-17__13-07-27_label0_cls0,76,0,74,2,{'dirt': 2}
Image__2023-03-10__13-47-28_label0_cls0,76,0,75,1,{'dirt': 1}
Image__2023-05-24__12-37-02_label0_cls0,76,0,75,1,{'dirt': 1}
Image__2024-04-10__12-17-06_label0_cls0,76,0,76,0,{}
Image__2023-02-27__13-51-41_label0_cls0,75,0,74,1,{'dirt': 1}
Image__2023-05-24__12-53-46_label9_cls0,75,0,68,7,{'dirt': 7}
Image__2024-01-18__13-18-00_label0_cls0,74,0,74,0,{}
Image__2023-03-15__14-15-39_label0_cls0,74,0,73,1,{'dirt': 1}
Image__2023-03-09__14-57-51_label0_cls0,73,0,71,2,{'dirt': 2}
Image__2023-02-27__13-47-36_label0_cls0,72,0,71,1,{'dirt': 1}
Image__2023-02-22__13-28-32_label1_cls0,71,0,70,1,{'dirt': 1}
Image__2023-05-24__12-53-46_label5_cls0,70,0,62,8,{'dirt': 8}
Image__2023-12-11__12-33-23_label10_cls0,70,0,70,0,{}
Image__2023-05-24__12-53-46_label8_cls0,70,0,63,7,{'dirt': 7}
Image__2024-05-17__12-23-19_label0_cls0,70,0,70,0,{}
Image__2023-03-08__10-43-57_label0_cls0,69,0,67,2,{'dirt': 2}
Image__2023-03-08__10-38-27_label1_cls0,69,0,67,2,{'dirt': 2}
Image__2023-03-06__14-12-03_label0_cls0,68,0,68,0,{}
Image__2023-02-22__13-28-32_label0_cls0,68,0,67,1,{'dirt': 1}
Image__2023-05-24__12-53-46_label7_cls0,68,0,61,7,{'dirt': 7}
Image__2023-03-01__13-21-58_label0_cls0,68,0,68,0,{}
Image__2023-02-28__14-19-21_label0_cls0,67,0,67,0,{}
Image__2023-12-11__12-32-34_label0_cls0,67,0,67,0,{}
Image__2023-02-22__14-01-07_label0_cls0,67,0,65,2,{'dirt': 2}
Image__2023-03-15__14-24-49_label0_cls0,67,0,65,2,{'dirt': 2}
Image__2023-03-01__13-35-57_label0_cls0,67,0,67,0,{}
Image__2023-10-30__13-20-23_label0_cls0,67,0,65,2,{'dirt': 2}
Image__2023-03-01__13-16-05_label0_cls0,66,0,66,0,{}
Image__2024-05-21__12-19-09_label0_cls0,66,0,66,0,{}
Image__2023-03-17__13-07-27_label1_cls0,66,0,64,2,{'dirt': 2}
